No,Title,Acceptance,Difficulty,Frequency,Array,Hash Table,Stack,Math,Dynamic Programming,String,Binary Search,Sliding Window,Prefix Sum,Greedy,Number Theory,Two Pointers,Sorting,Heap (Priority Queue),Simulation,Monotonic Stack,Ordered Set,Trie,Backtracking
636,Exclusive Time of Functions,62.2%,Medium,2.8600261687837474,1,0,1.0,,,,,,,,,,,,,,,,
1012,Numbers With Repeated Digits,42.0%,Hard,2.8162368809214744,0,0,,1.0,1.0,,,,,,,,,,,,,,
1208,Get Equal Substrings Within Budget,50.7%,Medium,2.2429468266743147,0,0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,
1529,Minimum Suffix Flips,73.1%,Medium,1.6696567724271552,0,0,,,,1.0,,,,1.0,,,,,,,,,
2964,Number of Divisible Triplet Sums,68.1%,Medium,1.55814461804655,1,1,,,,,,,,,,,,,,,,,
1492,The kth Factor of n,66.8%,Medium,1.3457090810048122,0,0,,1.0,,,,,,,1.0,,,,,,,,
253,Meeting Rooms II,51.1%,Medium,1.208189254704871,1,0,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,
2491,Divide Players Into Teams of Equal Skill,59.4%,Medium,0.9088557533866368,1,1,,,,,,,,,,1.0,1.0,,,,,,
2598,Smallest Missing Non-negative Integer After Operations,39.0%,Medium,0.8873031950009028,1,1,,1.0,,,,,,1.0,,,,,,,,,
12,Integer to Roman,64.3%,Medium,0.4890959071805757,0,1,,1.0,,1.0,,,,,,,,,,,,,
412,Fizz Buzz,71.8%,Easy,0.2731294587804852,0,0,,1.0,,1.0,,,,,,,,,1.0,,,,
456,132 Pattern,33.7%,Medium,0.1565690606915399,1,0,1.0,,,,1.0,,,,,,,,,1.0,1.0,,
13,Roman to Integer,60.8%,Easy,0.0678870809684113,0,1,,1.0,,1.0,,,,,,,,,,,,,
121,Best Time to Buy and Sell Stock,53.5%,Easy,0.0644922580393232,1,0,,,1.0,,,,,,,,,,,,,,
334,Increasing Triplet Subsequence,40.2%,Medium,0.0379192348622937,1,0,,,,,,,,1.0,,,,,,,,,
300,Longest Increasing Subsequence,55.0%,Medium,0.0296537665752035,1,0,,,1.0,,1.0,,,,,,,,,,,,
14,Longest Common Prefix,42.4%,Easy,0.0231016433800947,0,0,,,,1.0,,,,,,,,,,,,1.0,
17,Letter Combinations of a Phone Number,60.0%,Medium,0.0227670619135464,0,1,,,,1.0,,,,,,,,,,,,,1.0
1,Two Sum,52.0%,Easy,0.0030814291387936,1,1,,,,,,,,,,,,,,,,,
