No,Title,Acceptance,Frequency,Hard,Medium,Array,Hash Table,Greedy,Counting,String,Heap (Priority Queue),Depth-First Search,Breadth-First Search,Matrix,Two Pointers,Binary Search,Sorting,Dynamic Programming,Sliding Window,Tree,Binary Tree,Stack,Simulation,Monotonic Stack
2499,Minimum Total Cost to Make Arrays Unequal,43.2%,1.882800699112804,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,Strong Password Checker,13.6%,1.2992829841302609,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
934,Shortest Bridge,57.7%,0.7157652691477178,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
719,Find K-th Smallest Pair Distance,37.7%,0.6019569424953487,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
330,Patching Array,41.5%,0.462623521948113,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2551,Put Marbles in Bags,66.8%,0.4321333551903257,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1463,Cherry Pickup II,72.0%,0.3184537311185346,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
480,Sliding Window Median,39.3%,0.2047944126460132,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
983,Minimum Cost For Tickets,65.3%,0.1523854543026891,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
312,Burst Balloons,58.5%,0.1267517056391438,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
437,Path Sum III,46.5%,0.1115015162072221,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1235,Maximum Profit in Job Scheduling,54.8%,0.11060987154397,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
1011,Capacity To Ship Packages Within D Days,69.1%,0.1097323883792164,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
735,Asteroid Collision,44.6%,0.0335601964923018,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
84,Largest Rectangle in Histogram,44.0%,0.0278182054765306,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
11,Container With Most Water,54.9%,0.0166701396910588,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,Trapping Rain Water,60.8%,0.0137601070289507,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
3,Longest Substring Without Repeating Characters,34.5%,0.0049560255078589,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
